GISJOIN10,GISJOIN19
G0400190002701,G0400190002704
G0400190002903,G0400190002906
G0400190410501,G0400190004118
G0400190410502,G0400190004121
G0400190410503,G0400190004125
G0400190470400,G0400190005200
G0400190470500,G0400190005300
G0600370930401,G0600370137000
G3600530940101,G3600530030101
G3600530940102,G3600530030102
G3600530940103,G3600530030103
G3600530940200,G3600530030200
G3600530940300,G3600530030300
G3600530940401,G3600530030401
G3600530940403,G3600530030403
G3600530940600,G3600530030600
G3600530940700,G3600530030402
G3600650940000,G3600650024800
G3600650940100,G3600650024700
G3600650940200,G3600650024900
G4601130940500,G4601020940500
G4601130940800,G4601020940800
G4601130940900,G4601020940900
G5105150050100,G5100190050100
